id,osm_id,nombre,latitud,longitud,tipo
INTER_698491857,698491857,Intersección 698491857,-17.3910956,-66.238785,interseccion
INTER_698491877,698491877,Intersección 698491877,-17.390808,-66.2387863,interseccion
INTER_698491894,698491894,Intersección 698491894,-17.3910946,-66.2386949,interseccion
INTER_698491918,698491918,Intersección 698491918,-17.3908233,-66.2386552,interseccion
INTER_780226415,780226415,Intersección 780226415,-17.4074959,-66.2917745,interseccion
INTER_780226419,780226419,Intersección 780226419,-17.3975171,-66.3024689,interseccion
INTER_780226422,780226422,Intersección 780226422,-17.4032263,-66.2884018,interseccion
INTER_780226428,780226428,Intersección 780226428,-17.4055036,-66.2988415,interseccion
INTER_780226433,780226433,Intersección 780226433,-17.4186231,-66.2897677,interseccion
INTER_780226439,780226439,Intersección 780226439,-17.4031685,-66.2856607,interseccion
INTER_780226440,780226440,Intersección 780226440,-17.4066121,-66.2884153,interseccion
INTER_780226447,780226447,Intersección 780226447,-17.4188874,-66.2957873,interseccion
INTER_780226455,780226455,Intersección 780226455,-17.405638,-66.3004464,interseccion
INTER_780226470,780226470,Intersección 780226470,-17.429294,-66.2724562,interseccion
INTER_780226473,780226473,Intersección 780226473,-17.4182587,-66.2951659,interseccion
INTER_780226479,780226479,Intersección 780226479,-17.3889881,-66.2928989,interseccion
INTER_780226487,780226487,Intersección 780226487,-17.4228918,-66.2945668,interseccion
INTER_780226489,780226489,Intersección 780226489,-17.4058981,-66.2843384,interseccion
INTER_780226494,780226494,Intersección 780226494,-17.4032154,-66.2862375,interseccion
INTER_780226500,780226500,Intersección 780226500,-17.4204614,-66.2890837,interseccion
INTER_780226509,780226509,Intersección 780226509,-17.3906366,-66.2931173,interseccion
INTER_780226512,780226512,Intersección 780226512,-17.4221534,-66.288357,interseccion
INTER_780226524,780226524,Intersección 780226524,-17.4236747,-66.294594,interseccion
INTER_780226534,780226534,Intersección 780226534,-17.4241176,-66.2862746,interseccion
INTER_780226543,780226543,Intersección 780226543,-17.4215323,-66.2892337,interseccion
INTER_780226544,780226544,Intersección 780226544,-17.4207566,-66.2769352,interseccion
INTER_780226547,780226547,Intersección 780226547,-17.4205272,-66.2925056,interseccion
INTER_780226548,780226548,Intersección 780226548,-17.4225417,-66.2927171,interseccion
INTER_780226551,780226551,Intersección 780226551,-17.3952733,-66.3025167,interseccion
INTER_780226555,780226555,Intersección 780226555,-17.4211579,-66.2910303,interseccion
INTER_780226586,780226586,Intersección 780226586,-17.4240462,-66.2952353,interseccion
INTER_780226588,780226588,Intersección 780226588,-17.4161228,-66.2974503,interseccion
INTER_780226600,780226600,Intersección 780226600,-17.3997623,-66.2932927,interseccion
INTER_780226611,780226611,Intersección 780226611,-17.3983608,-66.2972837,interseccion
INTER_780226615,780226615,Intersección 780226615,-17.4205913,-66.2951653,interseccion
INTER_780226617,780226617,Intersección 780226617,-17.4197665,-66.2979799,interseccion
INTER_780226620,780226620,Intersección 780226620,-17.396903,-66.3033202,interseccion
INTER_780226622,780226622,Intersección 780226622,-17.4337177,-66.2712782,interseccion
INTER_780226627,780226627,Intersección 780226627,-17.4039772,-66.2874468,interseccion
INTER_780226641,780226641,Intersección 780226641,-17.3687426,-66.2991414,interseccion
INTER_780226646,780226646,Intersección 780226646,-17.4217448,-66.2897611,interseccion
INTER_780226659,780226659,Intersección 780226659,-17.4186298,-66.2947501,interseccion
INTER_780226669,780226669,Intersección 780226669,-17.4217865,-66.2930331,interseccion
INTER_780226670,780226670,Intersección 780226670,-17.4044136,-66.2884026,interseccion
INTER_780226686,780226686,Intersección 780226686,-17.4231097,-66.2860544,interseccion
INTER_780226707,780226707,Intersección 780226707,-17.4194345,-66.2925366,interseccion
INTER_780226709,780226709,Intersección 780226709,-17.3980122,-66.2958072,interseccion
INTER_780226711,780226711,Intersección 780226711,-17.420761,-66.2847772,interseccion
INTER_780226733,780226733,Intersección 780226733,-17.4076662,-66.2996412,interseccion
INTER_780226745,780226745,Intersección 780226745,-17.4075182,-66.2884925,interseccion
INTER_780226748,780226748,Intersección 780226748,-17.4159697,-66.298357,interseccion
INTER_780226758,780226758,Intersección 780226758,-17.4199537,-66.296835,interseccion
INTER_780226766,780226766,Intersección 780226766,-17.4236549,-66.2958075,interseccion
INTER_780226771,780226771,Intersección 780226771,-17.4214847,-66.2866151,interseccion
INTER_780226778,780226778,Intersección 780226778,-17.4209165,-66.2903466,interseccion
INTER_780226781,780226781,Intersección 780226781,-17.4041064,-66.2899762,interseccion
INTER_780226785,780226785,Intersección 780226785,-17.4236835,-66.2932775,interseccion
INTER_780226793,780226793,Intersección 780226793,-17.4238494,-66.2880055,interseccion
INTER_780226807,780226807,Intersección 780226807,-17.404835,-66.2874259,interseccion
INTER_780226808,780226808,Intersección 780226808,-17.3634675,-66.2961799,interseccion
INTER_780226810,780226810,Intersección 780226810,-17.4222949,-66.294279,interseccion
INTER_780226814,780226814,Intersección 780226814,-17.4234005,-66.296203,interseccion
INTER_780226829,780226829,Intersección 780226829,-17.3997679,-66.2917421,interseccion
INTER_780226833,780226833,Intersección 780226833,-17.4194621,-66.2862706,interseccion
INTER_780226836,780226836,Intersección 780226836,-17.4178842,-66.2917923,interseccion
INTER_780226843,780226843,Intersección 780226843,-17.395089,-66.2988629,interseccion
INTER_780226860,780226860,Intersección 780226860,-17.4064906,-66.2862618,interseccion
INTER_780226876,780226876,Intersección 780226876,-17.4032214,-66.2874328,interseccion
INTER_780226889,780226889,Intersección 780226889,-17.4202295,-66.2955453,interseccion
INTER_780226891,780226891,Intersección 780226891,-17.4054772,-66.2894441,interseccion
INTER_780226893,780226893,Intersección 780226893,-17.4244763,-66.2872539,interseccion
INTER_780226899,780226899,Intersección 780226899,-17.4040967,-66.2842943,interseccion
INTER_780226900,780226900,Intersección 780226900,-17.4186572,-66.2984827,interseccion
INTER_780226931,780226931,Intersección 780226931,-17.4175613,-66.2930977,interseccion
INTER_780226935,780226935,Intersección 780226935,-17.4040586,-66.2894386,interseccion
INTER_780226942,780226942,Intersección 780226942,-17.3899495,-66.3000968,interseccion
INTER_780226946,780226946,Intersección 780226946,-17.3860495,-66.2901141,interseccion
INTER_780226955,780226955,Intersección 780226955,-17.4204803,-66.286496,interseccion
INTER_780226960,780226960,Intersección 780226960,-17.40319,-66.2906574,interseccion
INTER_780226966,780226966,Intersección 780226966,-17.4208602,-66.2902322,interseccion
INTER_780226977,780226977,Intersección 780226977,-17.4018057,-66.2988391,interseccion
INTER_780226980,780226980,Intersección 780226980,-17.4195085,-66.2893678,interseccion
INTER_780226985,780226985,Intersección 780226985,-17.4208872,-66.2934128,interseccion
INTER_780226989,780226989,Intersección 780226989,-17.4050642,-66.2894462,interseccion
INTER_780226992,780226992,Intersección 780226992,-17.4058761,-66.2883995,interseccion
INTER_780227010,780227010,Intersección 780227010,-17.4198642,-66.2959677,interseccion
INTER_780227017,780227017,Intersección 780227017,-17.418979,-66.2943422,interseccion
INTER_780227022,780227022,Intersección 780227022,-17.3893499,-66.2940426,interseccion
INTER_780227026,780227026,Intersección 780227026,-17.4211547,-66.2882924,interseccion
INTER_780227047,780227047,Intersección 780227047,-17.4195,-66.2862847,interseccion
INTER_780227051,780227051,Intersección 780227051,-17.391139,-66.3024665,interseccion
INTER_780227072,780227072,Intersección 780227072,-17.4218612,-66.2949087,interseccion
INTER_780227087,780227087,Intersección 780227087,-17.4063713,-66.2843358,interseccion
INTER_780227096,780227096,Intersección 780227096,-17.4209794,-66.2964903,interseccion
INTER_780227103,780227103,Intersección 780227103,-17.4075183,-66.2874467,interseccion
INTER_780227108,780227108,Intersección 780227108,-17.3847937,-66.3011574,interseccion
INTER_780227119,780227119,Intersección 780227119,-17.4200447,-66.2909166,interseccion
INTER_780227124,780227124,Intersección 780227124,-17.4106551,-66.2917929,interseccion
INTER_780227132,780227132,Intersección 780227132,-17.397516,-66.3033777,interseccion
INTER_780227134,780227134,Intersección 780227134,-17.4220247,-66.2904232,interseccion
INTER_780227161,780227161,Intersección 780227161,-17.4204099,-66.2889548,interseccion
INTER_780227164,780227164,Intersección 780227164,-17.4221697,-66.2933023,interseccion
INTER_780227172,780227172,Intersección 780227172,-17.422273,-66.295611,interseccion
INTER_780227174,780227174,Intersección 780227174,-17.4039809,-66.2884047,interseccion
INTER_780227185,780227185,Intersección 780227185,-17.4204485,-66.2864255,interseccion
INTER_780227194,780227194,Intersección 780227194,-17.4042683,-66.2917547,interseccion
INTER_780227199,780227199,Intersección 780227199,-17.3990234,-66.2998557,interseccion
INTER_780227208,780227208,Intersección 780227208,-17.4052223,-66.2874259,interseccion
INTER_780227210,780227210,Intersección 780227210,-17.3982375,-66.2758245,interseccion
INTER_780227220,780227220,Intersección 780227220,-17.409764,-66.300507,interseccion
INTER_780227233,780227233,Intersección 780227233,-17.4208176,-66.2955295,interseccion
INTER_780227240,780227240,Intersección 780227240,-17.419352,-66.2939536,interseccion
INTER_780227248,780227248,Intersección 780227248,-17.401546,-66.2764162,interseccion
